"id","puntaje","comentario","valid_response"
194,2,"Mí experiencia es muy buena,los productos excelentes,carnes muy tiernas, presentación óptima y en mí caso en con delivery, también excelente.Estoy muy conforme.",1
195,1,"Desde la atención a la calidad del producto y el envío a domicilio, son excelentes. La página para realizar las compras es muy amigable y fácil de utilizar.",1
198,1,"Mmm no. La única ""critica"" es el horario de atención. Pero bueno, uno se acomoda... La calidad lo vale",1
196,1,Ok,0
197,1,?,0
200,1,Me encanta y a mis clientes también... todos contentos.,1
201,1,"Muy bien el tema de envío gratis,todo lo que compré muy buena calidad y fresco,la presentación está muy buena",1
202,2,"Genial, gracias por el aviso, quedo a la espera. Saludos! 👋🏼",1
204,1,Que es muy recomendable,1
203,1,N,0
208,2,"Muy buena la página web y rápida la operación de compra, muy buena las recetas orientativas y excelente la atención de las chicas de expendio",1
205,3,No,0
206,1,Ahora ?,0
207,1,Si no envio calificacion no  entregan,0
209,2,Buenos días ayer hice un pedido a la tarde . A que hora salen los repartos . Analia Barros,1
211,2,No es problema. Considero que tienen muy buen equilibrio costo/calidad/ servicio,1
210,1,Hola buen día. Hice compra ayer. Curcio Ramiro. Para calle Vélez sarfield 863. Ustedes avisan cuando estén en camino?,0
180,1,Muy buena todo y buena atención,1
212,1,No,0
213,2,No,0
214,1,Ahora no puedo  saludos,0
215,1,No,0
216,1,"Si, excelente mercaderia y servicio de entrega. Recomiendo 100%",1
217,1,Ya estoy en casa por si le queda bien al repartidor,0
218,2,"Cuando retire el pedido compre algo algo que me olvide pero, queria pagarlo en efectivo y debi entrar a la pagina y pagar con tarjeta.. eso no me gusto",1
219,2,SI,0
221,1,El servicio es impecable. De principio a fin.,1
235,2,Muy buena y rápida atención,1
222,1,No,0
223,1,"Buena predisposición para la entrega, y productos de excelente calidad.",1
224,2,"No, gracias",0
225,2,👌,0
226,1,Por ahora no,0
227,1,Si,0
228,1,Excelentes productos ademas de la atencion,1
229,1,"Muy buena calidad y puntualidad. Además, nos divertimos con las las publicidades.",1
230,1,Después de comer lo comprado,1
231,1,"No me di cuenta de que el cordero estaba congelado, entiendo fue mi error porque aclaran en la página pero tal vez una comunicación más clara podría ayudar, el resto impecable",1
232,2,excelente atención!,1
421,2,Recomendable 100% en servicio y productos.,1
220,1,Calidad de los productos y atención: Muy Bien 10 FELICITADO,1
236,1,"Excelente la atención. Hemos probado el T-Bone cocido al horno, BUENISIMO. Felicitaciones por el producto👏👏👏",1
237,1,"recibido, gracias",0
238,1,"Todo muy rápido, practico y de calidad.  Gracias",1
239,1,"Nada para agradar. Muy conforme con el servicio y productos. Gracias, saludos!",1
240,2,No,0
241,1,Hola chicos como les va? Sabes que hace un ratito hice una compra por un costi de 4.6kg. Los tienen armados ya? O se puede pedir que no lo marquen por favor? A nombre de augusto caunedo,0
242,1,Excelente atención y calidad 👌 muchas gracias. Saludos,1
243,1,Si,0
244,1,"Que lo pongan a prueba, no se arrepentirán de la experiencia y de los productos adquiridos.",1
245,2,No gracias.,0
246,1,"La carne vacuna siempre es excelente, te venden lo que dicen que es y a un buen precio. Es fácil, práctico y muy rápido comprar y tienen cortes que solo se consiguen ahí. La única vez que compré bondiola de cerdo no me pareció muy buena. Los demás productos no los he probado pero la carne vacuna es excelente.",1
247,1,La carne es muy buena y llega en tiempo y en forma,1
248,1,Siempre compro y todo excelente calidad,1
233,1,Si,0
251,2,"Si quiere ahora, dígame cuanto y le doy en efectivo",0
252,2,Si,0
287,2,Buenas,0
254,1,Vale destacar trato con el cliente de las cajeras te hace sentir muy como muchas gracias,1
255,1,"Hola, si pero termine comprando por la página por un tema de precio",1
256,5,"No, nada más",0
258,2,No,0
259,1,"Después de comer el producto, sí",1
260,1,No gracias,0
261,1,Si,0
262,1,Excelente atención y excelente calidad del producto,1
263,1,Desde que comencé a compar en senderos de  raza la carne me salio espectacular..mejor que en otros lados,1
264,1,Si,0
265,1,Buenos días,0
266,2,"Buenos días, puedo pasar a retirar la  compra a nombre de Pablo Carrasco",0
267,2,Por ahora no,0
268,2,No,0
277,1,No,0
269,1,Estuvo bueno la otra vez que enviaron un cupón de descuento. Por ahí podrían hacer algo como un sistema de puntaje para canjear por cupones de % de descuento o similar,1
270,1,Claro,0
271,1,"Si, que compren tranquilos que no se van a arrepentir",1
272,1,No gracias!,0
273,2,Me avisarían porfa si reponen stock de medio costillar así compro antes de ir a retirar y me traigo todo?,0
274,1,Ok no hay problema,0
275,1,"Muy buena  la calidad de la carne ,las entregas son en tiempo y  forma",1
276,2,Muy buena atención y productos.,1
278,2,No ésta vez... gracias igual!!,0
279,1,No gracias,0
280,2,"No, gracias",0
281,2,"Muy buen producto, atención, cómodo para hacer las compras y el servicio de entrega a domicilio, espectacular, gracias",1
282,2,"Muy buena calidad y excelente atención, lamentablemente a veces falta lo que uno quiere comprar. Pero estoy muy conforme. Gracias",1
283,1,Calidad de primera tanto en servicio como en el producto... Los recomendé anteriormente y lo seguiré haciendo,1
284,2,Productos de muy buena calidad y mucha practicidad en el proceso de compra y retiro de la mercadería.,1
285,3,"Cuit 27.11742992.5
Lidia Mabel Galliussi
Illia 44",0
286,1,"Muy buena atención en el local y el funcionamiento de la,web para el pedido",1
288,1,Cómo sería?,0
289,3,No gracias,0
290,1,👍,0
291,1,Bueno me pueden cancelar la compra y devolver la plata?,0
292,1,👍,0
293,5,Commerce?,0
294,1,👍,0
295,1,"Excelente servicio y producto, lo recomiendo!",1
296,2,"Muy buena calidad de productos , pero muy buena calidad .",1
297,1,Siempre ha sido excelente,1
298,2,"No nada mas gracias, estoy trabajando en este momento",0
299,1,"No, nada mas",0
253,1,"Todo perfecto! solo un detalle, la pagina a veces no funciona bien y carga en el carrito cualquier cosa.",1
302,2,No,0
303,1,Muy buen servicio y calidad de carne,1
304,1,"Los productos son excelentes y la atencion de las chicas en la recepcion es fenomenal!!!!
Superconforme 👏👏👏👏",1
305,1,Si,0
306,1,No por ahora,0
307,1,"Buenos días en el dia de ayer realice una compra de queso provoleta. 
Quería saber para cuando esta designado el reparto ya que tengo que salir de viaje GRACIAS!!!!",0
308,1,Ok,0
309,1,"Compre sobre la hora y pude retirar enseguida.
Tuve que cambiar un producto por carne fresca y también fueron flexibles. 
Responden rápido por WhatsApp",1
310,1,Muy buena calidad d la carné y buenos precios gracias,1
250,1,"ya los califique ademas siempre les comento a mis amigos, a los visitantes se los recomiento no se van a arrepentir",1
311,1,👍,0
312,2,👍👍,0
313,1,Igualmente. Saludos cordiales,0
314,1,Buenísimo los espero!,0
315,2,"No a vos en privado,por la compra anterior que te hice..",1
316,1,Muy buen servicio! . Practico a la hora de comprar y los envios. De diez!,1
317,2,Todo perfecto lo unico que estaria buena q cada semana saquen una super oferta de distintos cortes de carne. Saludos,1
318,1,No,0
319,1,"1",0
321,1,Buena la atención y muy buena la mercadería no es la primera ves que compro de esta manera,1
322,1,Muy buena atención,0
323,1,Buenos días,0
324,1,No. Gracias,0
325,1,Muy buen servicio rápido fácil cómodo,1
326,1,Si,0
327,2,"Hola Daisi, si claro",0
328,1,Gracias,0
329,1,Compro hace un tiempo y siempre conforme con la calidad de la carne y el servicio de entrega.,1
301,3,No especificaba en página que el producto  estaba conelado,1
355,5,No,0
356,1,Asi seria,0
357,1,"3",0
358,1,E,0
359,3,No gracias,0
360,5,"2",0
361,1,Si,0
362,1,Como sería el código de descuento,1
363,1,Hasta cuándo es válido el cupón ?,1
364,2,"2",0
365,1,"Hola y buenas tardes, acabo de hacer dos compras por la página, escribo para pedir si se puede hacer el despacho mañana luego de las 13 por favor",0
366,1,Buenos días,0
367,1,"Lo mejor, hace mucho soy cliente y la atención y calidad es excelente.",1
368,1,Excelente como siempre...,1
369,2,Si. Estoy en casa,0
370,1,Buena calidad de la carne y excelente atencion,0
371,1,son unos genios uds!!,1
372,1,"3",0
373,1,"No, gracias, estoy muy conforme ✨🤗",1
374,2,"Disculpas daisi, hacemos consumidor final",1
375,1,Excelente los productos que ofrecen de muy buena calidad y el servicio,1
376,1,"2",0
377,1,En otro momento gracias,0
378,1,🤔,0
379,1,No fue sencillo y rápido,0
380,1,Buenísima calidad y presentación en los cortes,1
381,1,si,0
382,1,"1",0
383,1,Si. Dale,0
384,1,Hola buen día,0
385,1,Hola buen día,0
386,1,"1",0
387,2,Ok,0
389,1,"1",0
390,1,Si,0
391,1,Excelente todo,1
393,2,Ok,0
395,1,"Muy buena atención, la mercadería llegó rapidísima, en menos de UNA (1)hora, muy dinámica la forma de pago, la verdad que los calificaría de EXCELENCIA COMERCIAL, muchas gracias !!!!",1
396,1,Ok,0
397,2,Práctico servicio... Web.. Carrito... Pagas... Vas y retiras sin cola ni espera... Sencillo 👍,1
398,1,Hola ! Muchas gracias ! En el domicilio está mi esposa,1
399,1,Una app seria ideal. Y extender entregas a cipolletti,1
400,1,"1",0
401,2,Buenas tardes! Tienen idea cuando estarán recibiendo bondiola?,1
402,1,Ok gracias,0
403,3,"Listo ya realice pago, te pido que vengan lunes por favor ya que mañana no estaremos",0
404,3,Gracias.,0
405,1,Hola muchas gracias,0
406,2,Bien. Buen dia,0
407,1,Lo primero lo agil que es comprar y lo otro la excelente calidad de los productos,1
408,1,Hola!,0
409,1,Ok,0
410,2,"Gracias por comunicarte con Damian Pino Seguros. Para gestiones administrativas, denuncias de siniestros y pedido de documentación contactate al número 2994161989 y serás atendido a la brevedad. Muchas gracias!!!",1
411,1,"al final puede aplicarlo , muchas gracias !!",0
412,1,Hola buenos días,0
413,1,👍,0
414,1,👍🏻,0
415,1,"1",0
416,1,No,0
417,1,Perfecto,0
418,1,Bueno.,0
419,1,Si,0
420,1,"1",0
423,5,"5",0
331,2,"Nono, gracias",0
332,1,"Todo excelente desde la preparación a la atención y entrega!
Muchas gracias!",1
333,1,Ok,0
334,1,"Espectacular el servicio, soy de general roca, hago el pedido en la ruta y cuando llego solo paso a retirar. Nada de espera.",1
335,1,Hola buen dia como ago para obtener cupones de descuentos,1
336,1,"Todo muy bien. Buena experiencia.  La página web es intuitiva y fácil de navegar, las opciones de pago son varias, el envío a domicilio es rápido y con mensajes que te avisan como va el pedido.",1
337,2,Es mi primera compra. Prefiero esperar a probar los productos,1
338,1,No,0
340,1,Si,0
341,2,No,0
342,2,Gracias,0
343,5,"Uh no, pense que era bueno",1
344,1,No no gracias,0
345,1,👍,0
346,2,Holaa,0
347,1,"Excelente la calidad, muy buenos precio.",1
348,2,No gracias,0
349,1,"Hasta ahora muy buena calidad, y llega en tiempo acordado.",1
350,1,No gracias,0
351,2,"2",0
352,1,👍🏻,0
1,1,No,0
5,1,Una atención espectacular. La carne es de muy buena calidad y el servicio de reparto es excelente,1
25,1,"Si, realmente el servicio es muy bueno, como asi también la calidad de los productos. Altamente recomendable",1
28,2,"En cuanto a calidad de productos y atención al cliente, 10 puntos.. En precios, antes eran más competitivos, casi sin competencia respecto a otros frigorífico, hoy la mayoría de cortes son más baratos en otros frigoríficos grandes de nqn, hoy compré pollo que es lo más barato respecto a otros lugares",1
53,1,"Uf. Mucho para desir estoy muyyyy satisfecha con el servicio... A sido una Gran ayuda para los q trabajamos. Y nos cuesta salir a comprar... Gran iniciativa el envío a Domicilio.

Los productos son excelentes... Y ya eh perdido la cuenta a cuantas personas ya se los recomendé... Estoy muy Satisfecha... Si me gustaría saber como puedo obtener CUPONES DE DESCUENTO... POR Q REALIZO COMPRAS MUY grandes y Si podría ser mejor tener esa posibilidad... Gracias.. Muy amables... 👍👍👍",1
92,1,"Hace un tiempo que compro en Senderos de Raza, sus productos , son de calidad, precios moderados, entrega segun lo pactado, sin dudas, siempre los recomiendo.",1
103,2,"Puedo decir que la atención fue excelente, por ahora no puedo calificar los productos porque recién los acabo de recibir y no los hemos probado. Pero toda la compra fue excelente, tuve un contratiempo al momento de hacer el pago y me guiaron para poder concretarlo. Gracias",1
150,1,"Tienen un muy buen servicio , entrega puerta a puerta ,en tiempo y forma,muy conforme de trabajar con ustedes.",1
159,1,"En pocas palabras: la calidad de los productos es excelente, la página es simple y directa, bien organizada, el envío a domicilio lo tienen bien aceitado e informan los pasos que dan. En cuanto a precios hay algunos lugares ""algo"" mas economico pero el combo de todo lo mencionado sigue siendo excelente.",1
177,2,"nada mas, gracias",1
178,1,Muy buena carne  y entrega rapida....no se me ocurre nada mas.,1
189,1,"Siempre la mejor calidad en carnes, todas sus variedades. Y excelentes precios y atención!!!",1
199,1,"No me gusto, ya es la segunda vez que compro a travez del sitio web a domicilio y ambas veces me llego puro hueso y grasa y a penas un poco de carne, la primera vez pense que era un poco de mala suerte pero ya dos veces es a proposito",1
353,2,Gracias,0
354,1,Hola! Recién hice una compra y me di cuenta que hacen los envíos en un horario en el que no estaré en casa. Les puedo pedir a que lo envíen a otra dirección?,1
388,1,Buenos días,0
392,2,Los productos de muy buena calidad y la atención es excelente,1
394,1,Si en este lugar encuentro productos de calidad y en buen precio nunca me llego algo q no me gustará o q tendria la necesidad de devolverla al contrario siempre me quedo más q satisfecha !gracias x su amabilidad y servicio!,1
422,2,Hola buenas tardes,0
424,1,Quiero el queso !!!. después les.comento que son muy cordiales con los clientes .,1
425,1,X favor tener en cuenta se ponen nerviosos si tocan la puerta y no se puen3n levantar tienen 82 y 83 años,1
320,1,"Y pedile disculpas de mi parte una vez más al chico que me trajo el pedido! 🥲
Cuando me llamo pensé que era alguien más, por eso no lo atendí con buena onda 🫠
Muchas gracias por todo! Saludos!!",1
330,1,"Todas las veces que compré los productos resultaron muy buenos y de calidad.
La atención de las chicas de recepción es espectacular y  muy atentas.
Es fácil comprar x la página y te avisan apenas está listo para retirar!!",1
339,1,"En mí opinión la experiencia de compra es bastante completa, los pasos a seguir son sencillos y el momento del pago también está bien administrado, aunque hay algunas tarjetas que mercado pago no admite. La página web tendría que omitir los productos que no tienen stock o marcarlos por adelantado de que no están disponibles para no obstaculizar la venta, sin embargo son la primera opción al momento de comprar por internet en mí familia, gracias!",1
234,1,"Ya he comprado varias veces a través de la página,  la cual es de muy fácil acceso e interactiva. 
Siempre tuve excelentes experiencias. Los productos llegaron en excelente estado de conservación. 
La comunicación a través del WhatsApp es muy fluida y contestan enseguida. 
Con respecto a la calidad, he adquirido carne vacuna, cerdo y pescado. Todos muy buenos.
Los precios son razonables y siempre aprovecho las ofertas👍🏽",1
249,1,"Ahhh yo porque estaba a 3 cuadra del límite y la última vez me dijeron que no había problema, pero bueno si se complica veo para la próxima,",0
257,1,Todo muy sencillo. Muy facil la aplicacion para seleccionar los productos y concretar la compra. Muy buena comunicacion y rapidez en la preparacion de la mercaderia. La calidad de los productos son excelentes y los precios muy competitivos,1
300,1,"Si, la compra es muy simple y rápida ; la elección de productos fácil; muy buena calidad de los productos y el servicio domiciliario excelente.",1
